id,log,seen,semantic_template,template,valid,predict
1,session closed for user root,False,session closed for user {username},session closed for user <*>,True,session closed for user <*>
2,session opened for user root by (uid=0),False,session opened for user {username} by (uid={uid_number}),session opened for user <*> by (uid=<*>),True,session opened for user <*> by (uid=<*>)
3,(root) CMD (run-parts /etc/cron.hourly),False,({user}) CMD ({command}),(<*>) CMD (run-parts <*>),True,(<*>) CMD (<*>)
4,session closed for user root,False,session closed for user {username},session closed for user <*>,True,session closed for user <*>
5,session opened for user root by (uid=0),False,session opened for user {username} by (uid={uid_number}),session opened for user <*> by (uid=<*>),True,session opened for user <*> by (uid=<*>)
6,(root) CMD (run-parts /etc/cron.hourly),False,({user}) CMD ({command}),(<*>) CMD (run-parts <*>),True,(<*>) CMD (<*>)
7,session closed for user root,False,session closed for user {username},session closed for user <*>,True,session closed for user <*>
8,session opened for user root by (uid=0),False,session opened for user {username} by (uid={uid_number}),session opened for user <*> by (uid=<*>),True,session opened for user <*> by (uid=<*>)
9,(root) CMD (run-parts /etc/cron.hourly),False,({user}) CMD ({command}),(<*>) CMD (run-parts <*>),True,(<*>) CMD (<*>)
10,session closed for user root,False,session closed for user {username},session closed for user <*>,True,session closed for user <*>
11,session opened for user root by (uid=0),False,session opened for user {username} by (uid={uid_number}),session opened for user <*> by (uid=<*>),True,session opened for user <*> by (uid=<*>)
12,(root) CMD (run-parts /etc/cron.hourly),False,({user}) CMD ({command}),(<*>) CMD (run-parts <*>),True,(<*>) CMD (<*>)
13,session closed for user root,False,session closed for user {username},session closed for user <*>,True,session closed for user <*>
14,session opened for user root by (uid=0),False,session opened for user {username} by (uid={uid_number}),session opened for user <*> by (uid=<*>),True,session opened for user <*> by (uid=<*>)
15,(root) CMD (run-parts /etc/cron.hourly),False,({user}) CMD ({command}),(<*>) CMD (run-parts <*>),True,(<*>) CMD (<*>)
16,session closed for user root,False,session closed for user {username},session closed for user <*>,True,session closed for user <*>
17,session opened for user root by (uid=0),False,session opened for user {username} by (uid={uid_number}),session opened for user <*> by (uid=<*>),True,session opened for user <*> by (uid=<*>)
18,(root) CMD (run-parts /etc/cron.hourly),False,({user}) CMD ({command}),(<*>) CMD (run-parts <*>),True,(<*>) CMD (<*>)
19,session closed for user root,False,session closed for user {username},session closed for user <*>,True,session closed for user <*>
20,session opened for user root by (uid=0),False,session opened for user {username} by (uid={uid_number}),session opened for user <*> by (uid=<*>),True,session opened for user <*> by (uid=<*>)
21,(root) CMD (run-parts /etc/cron.hourly),False,({user}) CMD ({command}),(<*>) CMD (run-parts <*>),True,(<*>) CMD (<*>)
22,session closed for user root,False,session closed for user {username},session closed for user <*>,True,session closed for user <*>
23,session opened for user root by (uid=0),False,session opened for user {username} by (uid={uid_number}),session opened for user <*> by (uid=<*>),True,session opened for user <*> by (uid=<*>)
24,(root) CMD (run-parts /etc/cron.hourly),False,({user}) CMD ({command}),(<*>) CMD (run-parts <*>),True,(<*>) CMD (<*>)
25,session closed for user root,False,session closed for user {username},session closed for user <*>,True,session closed for user <*>
26,session opened for user root by (uid=0),False,session opened for user {username} by (uid={uid_number}),session opened for user <*> by (uid=<*>),True,session opened for user <*> by (uid=<*>)
27,(root) CMD (run-parts /etc/cron.hourly),False,({user}) CMD ({command}),(<*>) CMD (run-parts <*>),True,(<*>) CMD (<*>)
28,session closed for user root,False,session closed for user {username},session closed for user <*>,True,session closed for user <*>
29,session opened for user root by (uid=0),False,session opened for user {username} by (uid={uid_number}),session opened for user <*> by (uid=<*>),True,session opened for user <*> by (uid=<*>)
30,(root) CMD (run-parts /etc/cron.hourly),False,({user}) CMD ({command}),(<*>) CMD (run-parts <*>),True,(<*>) CMD (<*>)
31,session closed for user root,False,session closed for user {username},session closed for user <*>,True,session closed for user <*>
32,session opened for user root by (uid=0),False,session opened for user {username} by (uid={uid_number}),session opened for user <*> by (uid=<*>),True,session opened for user <*> by (uid=<*>)
33,(root) CMD (run-parts /etc/cron.hourly),False,({user}) CMD ({command}),(<*>) CMD (run-parts <*>),True,(<*>) CMD (<*>)
34,session closed for user root,False,session closed for user {username},session closed for user <*>,True,session closed for user <*>
35,session opened for user root by (uid=0),False,session opened for user {username} by (uid={uid_number}),session opened for user <*> by (uid=<*>),True,session opened for user <*> by (uid=<*>)
36,(root) CMD (run-parts /etc/cron.hourly),False,({user}) CMD ({command}),(<*>) CMD (run-parts <*>),True,(<*>) CMD (<*>)
37,session closed for user root,False,session closed for user {username},session closed for user <*>,True,session closed for user <*>
38,session opened for user root by (uid=0),False,session opened for user {username} by (uid={uid_number}),session opened for user <*> by (uid=<*>),True,session opened for user <*> by (uid=<*>)
39,(root) CMD (run-parts /etc/cron.hourly),False,({user}) CMD ({command}),(<*>) CMD (run-parts <*>),True,(<*>) CMD (<*>)
40,data_thread() got not answer from any [Thunderbird_A8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
41,data_thread() got not answer from any [Thunderbird_B8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
42,data_thread() got not answer from any [Thunderbird_C5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
43,session closed for user root,False,session closed for user {username},session closed for user <*>,True,session closed for user <*>
44,session opened for user root by (uid=0),False,session opened for user {username} by (uid={uid_number}),session opened for user <*> by (uid=<*>),True,session opened for user <*> by (uid=<*>)
45,(root) CMD (run-parts /etc/cron.hourly),False,({user}) CMD ({command}),(<*>) CMD (run-parts <*>),True,(<*>) CMD (<*>)
46,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
47,"synchronized to 10.100.28.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
48,"synchronized to 10.100.24.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
49,data_thread() got not answer from any [Thunderbird_B7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
